id,tieu_de,gia_ban,don_gia,dien_tich,dia_chi,mo_ta,dien_thoai,loai_hinh,dien_tich_dat,dien_tich_su_dung,gia_m2,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,huong_cua_chinh,dac_diem,chieu_ngang,chieu_dai,ma_can,ten_phan_khu_lo,bieu_do_gia,Quan
1,"Bán nhà Hoàng Hoa Thám, p.7 Bình Thạnh, 19m2, 3 tầng, hẻm 2m, 3.x tỷ.","3,98 tỷ","209,47 triệu/m²",19 m²,"Đường Hoàng Hoa Thám, Phường 7, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Gia Định, TP Hồ Chí Minh mới)","#HHHHT012
Bán nhà Hoàng Hoa Thám, p.7 Bình Thạnh, 19m2, 3 tầng, hẻm 2m, 3.x tỷ.
🔥🔥🔥19M2 - 3 TẦNG – ĐẦY ĐỦ NỘI THẤT – NHỈNH 3 TỶ 🔥🔥🔥
🍀Mô tả🍀
👉 Diện tích, kết cấu:
19m2
2PN, 3WC
1 trệt 2 lầu
👉 Vị trí:
Hẻm ba gác thông muôn nơi, 15m ra hẻm xe hơi, cách mặt tiền 50m.
Vị trí giáp Phú Nhuận, Bình Thạnh, thuận tiện ra sân bay Tân Sơn Nhất.
Gần chợ, siêu thị, trường học các cấp.
Khu vực dân trí cao.
Liền kề Nguyễn Văn Đậu, Phan Đăng Lưu
👉 Pháp lý: Chuẩn, Sổ hồng công chứng 1p30s.,,,,
👉 Giá: 3.98 tỷ
👉 Điểm cộng: nhà mới xây, full nội thất chỉ dọn vào ở.
👉 Liên hệ: Hiếu Huỳnh - Nhà Đất, Số DĐ/zalo: ***
#HHND85",090308 ***,"Nhà ngõ, hẻm",19 m²,,"209,47 triệu/m²",Đã có sổ,2 phòng,3 phòng,3,,,,,,,,"[138.46, 134.66, 134.66, 155.56, 142.38, 142.38, 142.38, 142.64, 171.25, 171.25, 170, 170, 170]",Bình Thạnh
2,"SIÊU PHẨM 6 TẦNG LẦU ĐÓN TẾT NGAY TRUNG TÂM 4 QUẬN(Q1,Q3,Q PN, Q BT) C","7,98 tỷ",228 triệu/m²,35 m²,"Đường Vạn Kiếp, Phường 3, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Gia Định, TP Hồ Chí Minh mới)","SIÊU PHẨM 6 TẦNG LẦU ĐÓN TẾT NGAY TRUNG TÂM 4 QUẬN(Q1,Q3,Q PN, Q BT) CHỈ 7,98 TỶ

-Diện tích đất: 4,6 x 8 = 35m2
✅Xây dựng: 6 tầng lầu 
Công năng + nội thất full gồm: Khách, gara xe, Bếp, 3 P.Ngủ master rộng như sân Pickeball, 5 toilet chuẩn Resort 5 sao, P. đọc sách, P. Thờ, P. giặt phơi.... sân thượng siêu chill ngắm gần 1/2 tp
🎁Tặng toàn bộ nội thất sang xin mịn trang bị sẵn trong nhà như hình
- Căn thứ 2 sau căn mặt tiền phố ẩm thực Vạn Kiếp, đường thông Phan Xích Long, Đinh Tiên Hoàng, Trường Sa, Phan Đăng Lưu... những con phố sầm uất và sôi động nhất SaiGon. 
- Sổ hồng hoàn công đủ liên hệ *** để làm chủ căn nhà trước tết",091507 ***,"Nhà ngõ, hẻm",35 m²,,228 triệu/m²,Đã có sổ,3 phòng,,6,,,,,,,,"[116.67, 116.67, 133.2, 126.92, 166.27, 166.27, 153.1, 153.1, 166, 156.02, 156.02, 170, 170]",Bình Thạnh
3,NHỈNH 6T - Hẻm 3M - Sát MT Phan Văn Trị Bình Thạnh,6 tỷ,125 triệu/m²,48 m²,"Đường Phan Văn Trị, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","Diện tích : 4mx12m - CN: 46,6M
Kết cấu 1 Trệt 2 Lầu gồm 3 Phòng ngủ 🛌, 4WC 🛁, Phòng khách , Bếp",076399 ***,"Nhà ngõ, hẻm",48 m²,100 m²,125 triệu/m²,Đã có sổ,3 phòng,4 phòng,2,Nội thất cao cấp,,Hẻm xe hơi,4 m,12 m,,,"[157.2, 157.2, 157.2, 157.2, 134, 134, 134, 120.27, 120.27, 115.51, 155.99, 155.99, 155.99]",Bình Thạnh
4,"Nhà Sát Q1 Đón Tết 36m,2 Tầng☘️Phường 21_Bình Thạnh","5,95 tỷ","165,28 triệu/m²",36 m²,"Đường Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Thạnh Mỹ Tây, TP Hồ Chí Minh mới)",NHÀ ĐẸP ĐÓN TẾT - XÔ VIẾT NGHỆ TĨNH F21 GIÁP Q1 - 36m2 - 3PN FULL Nội Thất - Sân Thượng Đúc - NHỈNH 5Ty Bớt Lộc,,"Nhà ngõ, hẻm",36 m²,72 m²,"165,28 triệu/m²",Đã có sổ,3 phòng,2 phòng,2,,,,4 m,9 m,,,"[134.5, 139.83, 136.36, 140, 140, 129.03, 129.03, 133.33, 130.43, 131.17, 131.17, 131.17, 131.17]",Bình Thạnh
5,"3 TẦNG- NHÀ MT ĐƯỜNG SỐ 1 P4 GV- HXT- 4 x 17M VUÔNG - 11,6 TỶ TL","11,6 tỷ","170,59 triệu/m²",68 m²,"Mặt tiền, Đường Số 1, Phường 4, Quận Gò Vấp, Tp Hồ Chí Minh (Phường Hạnh Thông, TP Hồ Chí Minh mới)","3 TẦNG- NHÀ MT ĐƯỜNG SỐ 1 P4 GV- HXT- 4 x 17M VUÔNG - 11,6 TỶ TL

S3-30
- DT: 68m2, vuông
- Nhà chủ ở lâu năm, trệt + 2 lầu. Gồm 4pn, 4wc, 1p thờ. Ô tô vào nhà 
- Vị trí mặt tiền đường nhựa 6m, gần đường Ng.Thái Sơn, vừa ở vừa kinh doanh, khu vực sinh viên các trường ĐH, gần Chợ GV, công viên Gia Định, các siêu thị Emart, Vincom PV.Trị
- Lh Tài, miễn TG",902565899,"Nhà ngõ, hẻm",68 m²,,"170,59 triệu/m²",Đã có sổ,5 phòng,4 phòng,3,Nội thất đầy đủ,,Hẻm xe hơi,4 m,17 m,,,"[112.89, 125, 113.64, 113.64, 105.69, 91.73, 114.56, 124.24, 124.44, 113.68, 113.68, 113.68, 113.68]",Gò Vấp
6,CỰC HIẾM HXH - 4 TẦNG BTCT - NGUYỄN THÁI SƠN - GIÁP LÊ LỢI -6ty3,"6,3 tỷ","157,50 triệu/m²",40 m²,"Nguyễn Thái Sơn , Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh (Phường Hạnh Thông, TP Hồ Chí Minh mới)","CỰC HIẾM HXH - 4 TẦNG BTCT - NGUYỄN THÁI SƠN - GIÁP LÊ LỢI P1 VIP NHẤT GÒ VẤP -6ty3 
+ Dt: 4 x 10, Kết cấu: trệt 2 lầu sân thượng, 4PN, 5WC, sân thượng, bếp, phòng khách rộng rãi.
+ Hẻm an ninh dân trí, xung quanh toàn Biệt thự, dân trí cao.
+ Trước nhà rộng thênh thang, có chỗ đậu đỗ xe ô tô ngày đêm.
+ Vị trí ngay Bệnh viện 175, siêu thị EMarrt, Đại học Công nghiệp 4, sát ngay sân bay Tân Sơn Nhất.
+ Pháp lý chuẩn, công chứng trong ngày
☎️Call/zl: *** Phụng",,"Nhà ngõ, hẻm",40 m²,,"157,50 triệu/m²",Đã có sổ,4 phòng,5 phòng,,Nội thất cao cấp,,Hẻm xe hơi,4 m,10 m,,,"[149.5, 149.5, 125, 116.9, 116.9, 117.27, 137.88, 127.32, 127.32, 150, 150, 150, 150]",Gò Vấp
7,"Nhà 5 tầng HXH Lê Quang Định, P.1, Gò Vấp, 52m2, 5pn, 6wc, 10.3 tỷ","10,3 tỷ","198,08 triệu/m²",52 m²,"Đường Lê Quang Định, Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh (Phường Hạnh Thông, TP Hồ Chí Minh mới)","Nhà 5 tầng HXH Lê Quang Định, P.1, Gò Vấp, 52m2, 5pn, 10.3 tỷ

+ Diện tích 52m2, 4.1m x 13m
+ Nhà 1 trệt, 1 lửng, 2 lầu, sân thượng trước sau, 5pn, 6wc, thiết kế hiện đại, vào ở ngay
+ Hẻm xe hơi, gần Phạm Văn Đồng, công viên Gia Định, Phan Văn Trị, Nguyễn Văn Đậu,...
+ Sổ hồng riêng, hoàn công đủ",,"Nhà ngõ, hẻm",52 m²,,"198,08 triệu/m²",Đã có sổ,5 phòng,6 phòng,5,Nội thất cao cấp,,Hẻm xe hơi,4.1 m,13 m,,,"[142.25, 106.84, 106.84, 114.69, 154, 154, 111.25, 111.25, 118.53, 178.24, 142.25, 142.25, 142.25]",Gò Vấp
8,Bán Nhà 4T hẻm ô tô 8M sát mặt đường Nguyễn Văn khối P11 GÒ VẤP Chỉ 8x,8 tỷ,"133,33 triệu/m²",60 m²,"Đường Nguyễn Văn Khối, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh (Phường Thông Tây Hội, TP Hồ Chí Minh mới)","SIÊU PHẨM NHÀ 4 TẦNG – HXH TRÁNH, P11 GÒ VẤP – GIÁ CHỈ nhỉnh 8Đ 
địa chỉ : Nguyễn Văn Khối P11 Gò Vấp 
 • Diện tích: 60M2 - Ngang 4x15m 
 • Kết cấu: 1 trệt + 2 lầu + sân thượng.
 • Công năng: 4PN PK, bếp, phòng thờ, sân thượng.
 • Pháp lý chuẩn 
 • HXH tránh, khu dân trí cao, sát vách
📞 Liên hệ: *** Mai xem nhà chính chủ 24/7 , chuyên nhà đẹp giá tốt Gò Vấp",338920737,"Nhà ngõ, hẻm",60 m²,240 m²,"133,33 triệu/m²",Đã có sổ,4 phòng,5 phòng,4,Nội thất cao cấp,,Hẻm xe hơi,4 m,15 m,,,"[100.46, 109.83, 113.95, 113.95, 102.08, 100, 113.43, 110, 133.11, 133.11, 107.79]",Gò Vấp
9,nhà đep 4 tầng Nguyễn Văn Trỗi P15 PN /4.5 tỷ,"4,5 tỷ",180 triệu/m²,25 m²,"Đường Huỳnh Văn Bánh, Phường 15, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Cầu Kiệu, TP Hồ Chí Minh mới)","❌NGUYỄN VĂN TRỖI -4 TẦNG NHÀ ĐẸP 
Mô tả 🌟🌟☘️ 2 PN -3 WC SAN THƯỢNG 
NGAY GIÁP Q3 - HUỲNH VĂN BÁNH PHÚ NHUẬN CHỈ 4.75 toi - GẦN HẺM XE SẠCH SẼ 
 • 🚗 Cách 15m2 ra hẻm ô tô, gần mặt tiền Huỳnh Văn Bánh – trung tâm Phú Nhuận
 • 🌳 Nhà thoáng mát, sạch sẽ, đang cho thuê 10 triệu - ngon nhất khu vực khó tìm căn thứ 2
☎️☎️☎️Alo em Mừng",,"Nhà ngõ, hẻm",25 m²,80 m²,180 triệu/m²,Đã có sổ,2 phòng,3 phòng,4,Nội thất đầy đủ,,Nhà nát,3.5 m,6 m,,,"[154.58, 154.58, 154.58, 154.58, 141.02, 134.43, 134.43, 151.36, 151.36, 179.04, 179.04, 170.17, 170.17]",Phú Nhuận
10,BÁN NHÀ HOÀNG HOA THÁM PHÚ NHUẬN – 4 TẦNG – 5PN – FULL NỘI THẤT– 7.25T,"7,25 tỷ","213,24 triệu/m²",34 m²,"Đường Hoàng Hoa Thám, Phường 5, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Đức Nhuận, TP Hồ Chí Minh mới)","Hoàng Hoa Thám, Phường 5, Phú Nhuận khu VIP, dân trí cao, an ninh, di chuyển cực nhanh ra trung tâm & sân bay.

- DT 34m (3.7 x 9m) + sân hông ~8m, công nhận đủ
- Trệt + 3 lầu + sân thượng | 5PN 4WC | có kho
- Nhà rất thoáng, phòng nào cũng có cửa sổ
- Tặng FULL nội thất, vào ở ngay
- Hoàn công đủ pháp lý chuẩn

- Gần chợ, trường, bệnh viện ra sân bay nhanh

- Giá 7.25 tỷ (còn thương lượng cho khách thiện chí)

Liên hệ Em Bến Nhà Phố: ***.",,"Nhà ngõ, hẻm",34 m²,,"213,24 triệu/m²",Đã có sổ,5 phòng,5 phòng,4,Nội thất cao cấp,,Hẻm xe hơi,3.7 m,9 m,,,"[131.82, 153.75, 127.97, 150.89, 129.69, 129.69, 147.26, 141.79, 166.37, 166.37, 146.88, 126.67, 126.67]",Phú Nhuận
11,"Sát Mặt Tiền Trường Sa_ Phú Nhuận, Nhà 2 Tầng 40m2 Nhỉnh 6tỷ","6,5 tỷ","162,50 triệu/m²",40 m²,"Đường Trường Sa, Phường 15, Quận Phú Nhuận, Tp Hồ Chí Minh (Phường Cầu Kiệu, TP Hồ Chí Minh mới)","🔥 TRƯỜNG SA – PHÚ NHUẬN | 2 CĂN RA MẶT TIỀN

📐 40m² (6×7.5) – XÂY FULL

🏗 2 TẦNG MỚI ĐẸP

💰 Nhỉnh 6 tỷ

Liên Hệ: *** ( Call/ Zalo)

#nhaphophunhuan #muabannhapho",902829494,"Nhà ngõ, hẻm",40 m²,80 m²,"162,50 triệu/m²",Đã có sổ,3 phòng,3 phòng,2,,,,6 m,7.5 m,,,"[172.31, 170, 178.54, 153.56, 144.63, 141.87, 141.87, 154.29, 169.17, 164.63, 164.63, 164.63, 164.63]",Phú Nhuận
